,Geo_Place,Geo_Country,English_Country
0,"Autoprotect conectica auto, 144, Șoseaua Pantelimon, București, Pantelimon, Sector 2, București, Municipiul București, 021644, România", România,Romania
2,"Norge, Namsos, Trøndelag, Norge",Norge,Norway
3,"Bayern, Deutschland", Deutschland, Germany
6,"Little Philadelphia Road, Brass Castle, Oxford, Warren County, New Jersey, 07882, United States of America", United States of America, United States of America
7,"Bogotá, Distrito Capital, 110321, Colombia", Colombia, Colombia
8,"Nevers, Nièvre, Bourgogne-Franche-Comté, France métropolitaine, 58000, France", France, France
9,"Newton, Massachusetts, 02468, United States of America", United States of America, United States of America
10,"AG18 Ampang, Lebuhraya Bertingkat Sungai Besi–Ulu Klang, Taman Dato Ahmad Razali, Bandar Tasik Selatan, Kuala Lumpur, Majlis Perbandaran Ampang Jaya, 68000, Malaysia", Malaysia, Malaysia
12,"California, United States of America", United States of America, United States of America
13,"New York, United States of America", United States of America, United States of America
14,"León, Guanajuato, 37000, México", México, Mexico
15,"Београд, Град Београд, Централна Србија, 11000, Србија (Serbia)", Србија (Serbia),Serbia
17,"Montalieu-Vercieu, La Tour-du-Pin, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38390, France", France, France
18,"Прип'ятьська середня школа № 4, Будівельників проспект, IVа мікрорайон, Прип’ять, Київська область, 01196, Україна", Україна, Ukraine
21,"本州, 山城国, 会津美里町, 大沼郡, 福島県, 日本 (Japan)", 日本 (Japan),Japan
22,"Emmeloord - Oost, Marknesserweg, De Munt, Emmeloord, Noordoostpolder, Flevoland, Nederland, 8305BB, Nederland", Nederland,Netherlands
23,"Auckland, 1010, New Zealand", New Zealand, New Zealand
24,"Freehold, Monmouth County, New Jersey, 07728-1406, United States of America", United States of America, United States of America
25,"New Delhi, Delhi, India", India, India
26,United States,United States,United States
27,"Cincinnati, Hamilton County, Ohio, United States of America", United States of America,United States of America
28,Brasil,Brasil,Brazil
29,الإمارات العربية المتحدة,الإمارات العربية المتحدة,The United Arab Emirates
30,"New Delhi, Delhi, India", India, India
31,"California, United States of America", United States of America, United States of America
34,"Manchester, Greater Manchester, North West England, England, United Kingdom", United Kingdom, United Kingdom
36,"Brilliant, Jefferson County, Ohio, 43913, United States of America", United States of America, United States of America
37,"Patria Grande, 5598, Chascomús, Comuna 9, Mataderos, Buenos Aires, Ciudad Autónoma de Buenos Aires, 1440, Argentina", Argentina, Argentina
38,"Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, France", France, France
39,"Peoria Street, Pekin, Tazewell County, Illinois, 61554, United States of America", United States of America, United States of America
41,"Paris, Île-de-France, France métropolitaine, France", France, France
42,"相模大野, パークサイド通り, 上鶴間本町3, 相模大野3, 南区, 相模原市, 神奈川県, 252-0303, 日本 (Japan)", 日本 (Japan),Japan
44,"Florida, United States of America", United States of America,United States of America
48,"Kuala Klawang, 71600, Malaysia", Malaysia,Malaysia
49,日本,日本,Japan
50,"Dar es Salaam, Coastal Zone, 11101, Tanzania", Tanzania,Tanzania
51,"Brisbane, Queensland, 4004, Australia", Australia,Australia
52,"Michigan, United States of America", United States of America,United States of America
53,"Puerto Rico, Orocovis, Puerto Rico, United States of America", United States of America,United States of America
54,"Corvallis, Benton County, Oregon, United States of America", United States of America,United States of America
55,"香港 Hong Kong, China 中国", China 中国, China
56,"Naples, Collier County, Florida, 34102, United States of America", United States of America, United States of America
57,"Milano, Lombardia, Italia", Italia, Italy
58,"Texas, United States of America", United States of America, United States of America
59,"Caulnes, Dinan, Côtes-d'Armor, Bretagne, France métropolitaine, 22350, France", France, France
60,"Ontario, Canada", Canada, Canada
61,"Oregon, United States of America", United States of America, United States of America
63,"City of Melbourne, Victoria, Australia", Australia, Australia
64,"Sport Universe Gym, Dumlupınar Sokağı, Bahariye, Caferağa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34710, Türkiye", Türkiye,Turkey
65,"Wyoming, United States of America", United States of America, United States of America
