          Date    count
0                     0
1   2020-01-21      224
2   2020-01-22    28520
3   2020-01-23   186460
4   2020-01-24   660769
5   2020-01-25   998717
6   2020-01-26  1356180
7   2020-01-27   989434
8   2020-01-28   875551
9   2020-01-29  1979903
10  2020-01-30  2358087
11  2020-01-31  2145603
12  2020-02-01   940959
13  2020-02-02  1058172
14  2020-02-03  1045023
15  2020-02-04  1168053
16  2020-02-05  1062568
17  2020-02-06  1136920
18  2020-02-07  1032614
19  2020-02-08   969686
20  2020-02-09  1000828
21  2020-02-10  1076780
22  2020-02-11  1109326
23  2020-02-12  1052105
24  2020-02-13  1121186
25  2020-02-14  1033950
26  2020-02-15   922857
27  2020-02-16   938638
28  2020-02-17   985045
29  2020-02-18  1080332
30  2020-02-19   959982
31  2020-02-20  1043570
32  2020-02-21  1074836
33  2020-02-22   946039
34  2020-02-24   886376
35  2020-02-25   962555
36  2020-02-26  1160877
37  2020-02-27  1163270
38  2020-02-28  2057115
39  2020-02-29  3735380
40  2020-03-01  2822686
41  2020-03-02   988049
42  2020-03-03  3172658
43  2020-03-04  3408778
44  2020-03-05  1170131
45  2020-03-06  1194625
46  2020-03-07  1181183
47  2020-03-08  1156984
48  2020-03-09  1136076
49  2020-03-10  1099542
50  2020-03-11  1145287
51  2020-03-12   835583
